publish_date,sentiment_polarity,Date,sentiment_subjectivity
{'$date': '2017-01-27T00:00:00.000+0000'},0.1401038688774538,2017-01-27,0.3993329521631408
{'$date': '2017-02-28T00:00:00.000+0000'},0.09981060606060606,2017-02-28,0.2833333333333334
{'$date': '2017-01-23T00:00:00.000+0000'},0.01,2017-01-23,0.3230000000000001
{'$date': '2016-12-11T00:00:00.000+0000'},0.101235380116959,2016-12-11,0.4801900584795322
{'$date': '2017-02-28T00:00:00.000+0000'},0.1563101457929044,2017-02-28,0.5384977857391652
{'$date': '2017-03-29T17:12:42.000+0000'},0.16,2017-03-29,0.6577777777777778
{'$date': '2016-12-30T00:00:00.000+0000'},0.01111111111111111,2016-12-30,0.3377899877899879
{'$date': '2017-03-20T05:56:54.000+0000'},0.1462499999999999,2017-03-20,0.4404910714285714
{'$date': '2017-01-11T09:23:53.000+0000'},0.07005766369047621,2017-01-11,0.5051748511904761
{'$date': '2017-01-12T15:40:36.000+0000'},0.1210529054279054,2017-01-12,0.5301656676656676
{'$date': '2016-12-08T06:39:26.000+0000'},0.04263273491214668,2016-12-08,0.3612442704354469
{'$date': '2017-02-28T00:00:00.000+0000'},0.0664105339105339,2017-02-28,0.3666991341991341
{'$date': '2017-03-28T00:00:00.000+0000'},0.06465067340067339,2017-03-28,0.4389688552188551
{'$date': '2017-01-09T00:00:00.000+0000'},0.1439479905437352,2017-01-09,0.4713002364066194
{'$date': '2016-12-16T21:53:29.000+0000'},0.06607142857142857,2016-12-16,0.4815476190476191
{'$date': '2017-03-28T00:00:00.000+0000'},0.09596837242359631,2017-03-28,0.3648525230987917
{'$date': '2017-01-03T00:00:00.000+0000'},0.1874401913875598,2017-01-03,0.5041866028708133
{'$date': '2016-12-12T14:53:31.000+0000'},0.1681006493506493,2016-12-12,0.5261201298701299
{'$date': '2017-02-27T00:00:00.000+0000'},0.06021147771147772,2017-02-27,0.4539964314964314
{'$date': '2017-02-28T00:00:00.000+0000'},0.2403977272727273,2017-02-28,0.4853733766233766
{'$date': '2017-03-07T00:00:00.000+0000'},0.09628035008469793,2017-03-07,0.3795407491059665
{'$date': '2017-01-23T16:38:01.000+0000'},-0.08383838383838382,2017-01-23,0.4421436588103256
{'$date': '2016-12-21T21:36:54.000+0000'},0.05005660048763497,2016-12-21,0.4321011842563567
{'$date': '2017-02-27T00:00:00.000+0000'},0.1909654581529582,2017-02-27,0.5665724707391372
{'$date': '2017-02-28T15:26:51.000+0000'},0.05956790123456789,2017-02-28,0.3852623456790124
{'$date': '2017-03-24T00:00:00.000+0000'},0.03878174603174604,2017-03-24,0.4125873015873016
{'$date': '2016-12-19T05:53:37.000+0000'},0.2182958152958153,2016-12-19,0.4840786435786437
{'$date': '2017-02-28T12:45:49.000+0000'},0.06798390652557319,2017-02-28,0.4749118165784832
{'$date': '2017-01-19T00:00:00.000+0000'},0.1714442355889724,2017-01-19,0.5727600250626566
{'$date': '2016-12-21T00:00:00.000+0000'},0.1871553788401615,2016-12-21,0.514947170381953
{'$date': '2017-02-28T15:11:59.000+0000'},0.1366011303511304,2017-02-28,0.5304803992303992
