sentiment_polarity,publish_date,Date,sentiment_subjectivity
0.01111111111111111,{'$date': '2016-12-30T00:00:00.000+0000'},2016-12-30,0.3377899877899879
0.01,{'$date': '2017-01-23T00:00:00.000+0000'},2017-01-23,0.3230000000000001
0.05005660048763497,{'$date': '2016-12-21T21:36:54.000+0000'},2016-12-21,0.4321011842563567
0.00165099268547545,{'$date': '2017-02-21T00:00:00.000+0000'},2017-02-21,0.264858934169279
0.07874579124579123,{'$date': '2016-12-13T14:34:58.000+0000'},2016-12-13,0.330155723905724
0.1177717652717653,{'$date': '2016-12-13T04:50:00.000+0000'},2016-12-13,0.3891902267828193
0.1185619047619048,{'$date': '2017-02-17T09:07:29.000+0000'},2017-02-17,0.4051018759018759
0.1383538391433128,{'$date': '2017-03-06T05:55:10.000+0000'},2017-03-06,0.4584273182957393
-0.08383838383838382,{'$date': '2017-01-23T16:38:01.000+0000'},2017-01-23,0.4421436588103256
0.04263273491214668,{'$date': '2016-12-08T06:39:26.000+0000'},2016-12-08,0.3612442704354469
-0.04463484046817379,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.3441418149751484
0.05818627450980391,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.2940196078431372
0.119962962962963,{'$date': '2017-01-11T00:00:00.000+0000'},2017-01-11,0.3889259259259258
0.009811348781937018,{'$date': '2017-01-12T18:06:00.000+0000'},2017-01-12,0.2977644087938205
0.07340277777777776,{'$date': '2016-12-19T13:13:06.000+0000'},2016-12-19,0.474019841269841
0.1874401913875598,{'$date': '2017-01-03T00:00:00.000+0000'},2017-01-03,0.5041866028708133
0.1871553788401615,{'$date': '2016-12-21T00:00:00.000+0000'},2016-12-21,0.514947170381953
0.01173659673659674,{'$date': '2017-03-14T00:00:00.000+0000'},2017-03-14,0.291002331002331
0.02419609079445146,{'$date': '2017-01-30T00:00:00.000+0000'},2017-01-30,0.3343556716507536
0.2182958152958153,{'$date': '2016-12-19T05:53:37.000+0000'},2016-12-19,0.4840786435786437
-0.0625,{'$date': '2017-03-06T12:47:25.000+0000'},2017-03-06,0.1875
0.07005766369047621,{'$date': '2017-01-11T09:23:53.000+0000'},2017-01-11,0.5051748511904761
0.1210529054279054,{'$date': '2017-01-12T15:40:36.000+0000'},2017-01-12,0.5301656676656676
0.09695391414141413,{'$date': '2016-12-09T05:58:31.000+0000'},2016-12-09,0.4824273989898989
0.06406862745098041,{'$date': '2017-02-17T00:00:00.000+0000'},2017-02-17,0.3425490196078431
0.03805415263748597,{'$date': '2017-03-10T00:00:00.000+0000'},2017-03-10,0.3276445005611672
0.1003764351590439,{'$date': '2016-12-21T00:00:00.000+0000'},2016-12-21,0.307422830792396
-0.03712218712218712,{'$date': '2017-02-20T00:00:00.000+0000'},2017-02-20,0.3726785226785227
0.05994949494949494,{'$date': '2017-02-20T00:00:00.000+0000'},2017-02-20,0.3059595959595959
0.03980134680134681,{'$date': '2017-03-14T00:00:00.000+0000'},2017-03-14,0.2796094276094276
0.08878996312329648,{'$date': '2017-01-25T16:20:17.000+0000'},2017-01-25,0.5141996419218642
0.01898618538324421,{'$date': '2017-02-14T09:25:22.000+0000'},2017-02-14,0.3003542780748663
-0.001464646464646465,{'$date': '2017-02-14T00:00:00.000+0000'},2017-02-14,0.2964141414141414
0.004364332985022642,{'$date': '2017-02-14T10:21:35.000+0000'},2017-02-14,0.3411772901428075
0.09852949134199136,{'$date': '2017-03-16T02:20:45.000+0000'},2017-03-16,0.3703165584415585
-0.04775409775409776,{'$date': '2017-02-16T00:00:00.000+0000'},2017-02-16,0.3481536981536982
0.05091397849462365,{'$date': '2017-02-17T00:00:00.000+0000'},2017-02-17,0.3386021505376344
0.06601010101010102,{'$date': '2017-03-10T00:00:00.000+0000'},2017-03-10,0.3498989898989899
0.09093228200371059,{'$date': '2016-12-09T18:39:19.000+0000'},2016-12-09,0.4096790610183466
0.1324115646258504,{'$date': '2017-02-28T05:36:12.000+0000'},2017-02-28,0.4595328798185942
0.1600970017636685,{'$date': '2017-01-04T00:00:00.000+0000'},2017-01-04,0.3816578483245149
0.1681006493506493,{'$date': '2016-12-12T14:53:31.000+0000'},2016-12-12,0.5261201298701299
0.03537614955525402,{'$date': '2017-02-23T00:00:00.000+0000'},2017-02-23,0.391828735112317
-0.03433802308802308,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.3547276334776335
0.05994949494949494,{'$date': '2017-03-08T00:00:00.000+0000'},2017-03-08,0.3059595959595959
-0.1083333333333333,{'$date': '2017-01-27T07:56:04.000+0000'},2017-01-27,0.4111111111111111
0.07626411356674515,{'$date': '2016-12-05T16:59:00.000+0000'},2016-12-05,0.4639163565479355
0.09982034632034631,{'$date': '2017-03-13T00:00:00.000+0000'},2017-03-13,0.3731666666666667
0.1937777777777778,{'$date': '2017-01-06T12:41:53.000+0000'},2017-01-06,0.5042222222222223
0.04782828282828282,{'$date': '2017-02-24T00:00:00.000+0000'},2017-02-24,0.3241414141414141
0.08504899493271584,{'$date': '2017-03-13T00:00:00.000+0000'},2017-03-13,0.3468748951307091
0.1727479966841669,{'$date': '2017-03-13T15:51:00.000+0000'},2017-03-13,0.4656260996686528
0.1092171717171717,{'$date': '2017-01-12T00:00:00.000+0000'},2017-01-12,0.4118912337662339
0.1517660208643815,{'$date': '2017-01-12T00:00:00.000+0000'},2017-01-12,0.5338648782911077
0.1750325752191424,{'$date': '2017-01-12T00:00:00.000+0000'},2017-01-12,0.5233505093579719
-0.0935897435897436,{'$date': '2016-12-08T15:13:51.000+0000'},2016-12-08,0.5158119658119659
0.04036796536796537,{'$date': '2017-02-27T00:00:00.000+0000'},2017-02-27,0.4279942279942281
