publish_date,sentiment_polarity,Date,sentiment_subjectivity
{'$date': '2016-04-20T00:00:00.000+0000'},0.1317736892736893,2016-04-20,0.4623941798941799
{'$date': '2016-02-12T00:00:00.000+0000'},0.1708989243080153,2016-02-12,0.5162645120031484
{'$date': '2016-02-28T00:00:00.000+0000'},0.157112563075296,2016-02-28,0.453763343281977
{'$date': '2016-03-17T00:00:00.000+0000'},0.01356902356902357,2016-03-17,0.3609553872053872
{'$date': '2016-05-12T23:42:16.000+0000'},0.159469696969697,2016-05-12,0.5884018759018758
{'$date': '2016-06-17T09:15:00.000+0000'},0.1522950630193621,2016-06-17,0.4627828678763257
{'$date': '2016-04-27T00:00:00.000+0000'},0.1776802033944891,2016-04-27,0.5279639936782794
{'$date': '2016-06-24T05:55:00.000+0000'},0.1935858585858586,2016-06-24,0.5009848484848486
{'$date': '2016-05-20T00:00:00.000+0000'},0.05941451640464801,2016-05-20,0.4655426444900129
{'$date': '2016-06-29T00:00:00.000+0000'},0.1626666666666667,2016-06-29,0.595
{'$date': '2016-07-12T00:00:00.000+0000'},0.07229437229437229,2016-07-12,0.5456709956709958
{'$date': '2016-05-20T00:00:00.000+0000'},0.2367931547619047,2016-05-20,0.3905505952380952
{'$date': '2016-06-29T00:00:00.000+0000'},0.1055860930735931,2016-06-29,0.5265770562770562
{'$date': '2016-07-21T00:00:00.000+0000'},-0.02528232636928289,2016-07-21,0.4391727837380012
{'$date': '2016-06-08T00:00:00.000+0000'},0.2440927128427128,2016-06-08,0.5321608946608948
{'$date': '2016-10-30T00:00:00.000+0000'},0.0652930402930403,2016-10-30,0.2586996336996337
{'$date': '2017-01-10T15:59:00.900+0000'},0.1316590307840308,2017-01-10,0.488915464165464
{'$date': '2017-01-29T00:00:00.000+0000'},0.1195374800637959,2017-01-29,0.4435437369647897
{'$date': '2017-02-06T00:00:00.000+0000'},0.06658249158249159,2017-02-06,0.4651515151515151
{'$date': '2016-08-07T00:00:00.000+0000'},0.09200632429459792,2016-08-07,0.4189551517971715
{'$date': '2016-06-16T00:00:00.000+0000'},0.1897727272727273,2016-06-16,0.3623376623376623
{'$date': '2017-01-19T00:00:00.000+0000'},0.1884380952380953,2017-01-19,0.5723333333333334
{'$date': '2016-10-20T00:00:00.000+0000'},0.1006006493506493,2016-10-20,0.490027958152958
{'$date': '2016-06-09T00:00:00.000+0000'},0.09498914429129152,2016-06-09,0.4094114457458014
{'$date': '2016-05-22T00:00:00.000+0000'},0.1024473126324978,2016-05-22,0.5547859993230361
{'$date': '2016-11-21T00:00:00.000+0000'},0.09399561477483556,2016-11-21,0.4235691797380109
{'$date': '2016-10-14T07:00:00.000+0000'},0.06115351510088351,2016-10-14,0.3967797017797018
{'$date': '2016-09-16T00:00:00.000+0000'},0.03522727272727275,2016-09-16,0.4011363636363638
{'$date': '2016-09-19T00:00:00.000+0000'},0.0495,2016-09-19,0.461
{'$date': '2016-12-05T00:00:00.000+0000'},0.0001322751322751411,2016-12-05,0.4268298059964727
{'$date': '2016-09-13T00:00:00.000+0000'},0.0188453500522466,2016-09-13,0.4905798990281747
{'$date': '2016-05-04T00:00:00.000+0000'},0.1883886800334169,2016-05-04,0.4102234753550543
{'$date': '2016-08-10T00:00:00.000+0000'},0.03424479166666667,2016-08-10,0.3339556277056277
{'$date': '2016-11-17T00:00:00.000+0000'},0.0537704918032787,2016-11-17,0.5271783407848982
{'$date': '2017-01-20T00:00:00.000+0000'},0.163053613053613,2017-01-20,0.5356060606060606
{'$date': '2016-10-11T00:00:00.000+0000'},0.2833333333333334,2016-10-11,0.4244444444444445
{'$date': '2016-09-01T00:00:00.000+0000'},0.1965759814897746,2016-09-01,0.4539591155970466
{'$date': '2016-10-05T00:00:00.000+0000'},0.2039756329529057,2016-10-05,0.5438202370020551
{'$date': '2016-09-27T00:00:00.000+0000'},0.1576526130873957,2016-09-27,0.4466183574879227
{'$date': '2016-11-16T00:00:00.000+0000'},0.2004133597883598,2016-11-16,0.4711309523809525
{'$date': '2016-12-18T00:00:00.000+0000'},0.1493839493839494,2016-12-18,0.4079868849099618
{'$date': '2016-10-24T00:00:00.000+0000'},0.1880881180223286,2016-10-24,0.4276913875598087
{'$date': '2017-01-23T00:00:00.000+0000'},0.1488357073034492,2017-01-23,0.473819997207094
{'$date': '2016-10-20T00:00:00.000+0000'},0.2396464646464646,2016-10-20,0.4671717171717172
{'$date': '2016-11-02T00:00:00.000+0000'},0.1225044563279857,2016-11-02,0.451403743315508
{'$date': '2017-01-08T00:00:00.000+0000'},0.08615921115921114,2017-01-08,0.3902116402116402
{'$date': '2016-09-26T00:00:00.000+0000'},0.04871951219512194,2016-09-26,0.478780487804878
{'$date': '2017-01-10T00:00:00.000+0000'},0.2633333333333333,2017-01-10,0.5091666666666668
{'$date': '2016-12-21T00:00:00.000+0000'},0.2727272727272727,2016-12-21,0.5049242424242424
{'$date': '2016-12-19T00:00:00.000+0000'},0.0764968364968365,2016-12-19,0.3892161542161542
{'$date': '2016-11-24T00:00:00.000+0000'},0.1435724124360488,2016-11-24,0.5221497441951987
{'$date': '2016-10-07T00:00:00.000+0000'},0.07567920585161965,2016-10-07,0.457183908045977
{'$date': '2017-02-24T06:42:58.000+0000'},0.08177807486631015,2017-02-24,0.343412910618793
{'$date': '2016-11-01T00:00:00.000+0000'},0.2238888888888889,2016-11-01,0.5593223905723906
{'$date': '2016-09-27T00:00:00.000+0000'},0.1056442806442806,2016-09-27,0.3909363909363909
{'$date': '2016-10-18T14:51:02.000+0000'},0.2793703703703703,2016-10-18,0.5227777777777778
{'$date': '2016-05-18T00:00:00.000+0000'},0.2339053803339518,2016-05-18,0.5563852813852813
{'$date': '2017-01-04T00:00:00.000+0000'},0.05244904907826256,2017-01-04,0.4109234398560241
{'$date': '2016-10-26T00:00:00.000+0000'},0.1321535156762429,2016-10-26,0.4151422230967687
{'$date': '2016-10-28T00:00:00.000+0000'},0.04011904761904762,2016-10-28,0.5209761904761905
{'$date': '2016-11-15T00:00:00.000+0000'},0.1354890007951233,2016-11-15,0.3849191624701828
{'$date': '2016-09-19T00:00:00.000+0000'},0.2042266824085006,2016-09-19,0.4691145218417946
{'$date': '2017-01-27T00:00:00.000+0000'},0.1034334415584416,2017-01-27,0.5207481060606062
{'$date': '2017-03-29T06:20:42.000+0000'},0.3249007936507937,2017-03-29,0.4276404151404152
{'$date': '2017-01-20T00:00:00.000+0000'},0.2165906165906167,2017-01-20,0.4396220896220896
{'$date': '2017-02-08T00:00:00.000+0000'},0.1454766628873772,2017-02-08,0.4537691144834002
{'$date': '2017-02-15T20:28:23.000+0000'},0.07884810405643736,2017-02-15,0.4304442239858906
{'$date': '2016-11-22T00:00:00.000+0000'},0.1318886539816773,2016-11-22,0.5047040169133191
{'$date': '2017-01-24T00:00:00.000+0000'},0.1754684601113173,2017-01-24,0.4365646258503401
{'$date': '2016-12-05T00:00:00.000+0000'},-0.08980716253443523,2016-12-05,0.4986225895316805
{'$date': '2016-11-04T00:00:00.000+0000'},0.1291222170686456,2016-11-04,0.4047483766233766
{'$date': '2017-02-21T00:00:00.000+0000'},0.154040404040404,2017-02-21,0.5155050505050507
{'$date': '2017-01-04T00:00:00.000+0000'},0.0782417894605395,2017-01-04,0.4437931443556442
{'$date': '2016-11-15T00:00:00.000+0000'},0.1157608695652175,2016-11-15,0.4258410973084885
{'$date': '2017-02-12T00:00:00.000+0000'},0.2416900093370682,2017-02-12,0.575046685340803
{'$date': '2016-11-15T00:00:00.000+0000'},0.1816399286987523,2016-11-15,0.5317736185383245
{'$date': '2017-01-20T00:00:00.000+0000'},0.1332178932178932,2017-01-20,0.3323665223665224
{'$date': '2016-09-08T00:00:00.000+0000'},0.1613105448011109,2016-09-08,0.4420668953687822
{'$date': '2017-02-01T00:00:00.000+0000'},0.06048773448773449,2017-02-01,0.3493261183261184
{'$date': '2017-01-12T00:00:00.000+0000'},0.07296401515151515,2017-01-12,0.4675189393939393
{'$date': '2016-10-18T16:21:00.000+0000'},0.250854348473396,2016-10-18,0.521645594264642
{'$date': '2016-12-04T00:00:00.000+0000'},0.2157883986928104,2016-12-04,0.5237336601307189
{'$date': '2016-12-10T00:00:00.000+0000'},0.05896464646464646,2016-12-10,0.5148565486800781
{'$date': '2016-10-14T00:00:00.000+0000'},0.1462222222222222,2016-10-14,0.5576666666666665
{'$date': '2017-02-13T00:00:00.000+0000'},0.1596910665092483,2017-02-13,0.340267119244392
{'$date': '2016-12-23T00:00:00.000+0000'},0.1434659090909091,2016-12-23,0.4886363636363636
{'$date': '2016-12-09T12:17:34.000+0000'},0.08364045864045865,2016-12-09,0.37486544986545
{'$date': '2017-01-19T00:00:00.000+0000'},0.2272727272727273,2017-01-19,0.4005050505050505
{'$date': '2017-02-24T00:00:00.000+0000'},0.05898617511520737,2017-02-24,0.5435739887352792
{'$date': '2016-12-20T00:00:00.000+0000'},0.00944616977225673,2016-12-20,0.5179606625258798
{'$date': '2016-11-10T14:00:00.000+0000'},0.09307239057239057,2016-11-10,0.5811779358207928
{'$date': '2017-01-25T00:00:00.000+0000'},-0.1374007936507936,2017-01-25,0.5267551892551893
{'$date': '2016-09-22T00:00:00.000+0000'},0.1387626262626263,2016-09-22,0.5181265782828284
{'$date': '2016-11-15T00:00:00.000+0000'},0.1227675693101225,2016-11-15,0.6415538362346871
{'$date': '2017-02-23T00:00:00.000+0000'},0.0713572802858517,2017-02-23,0.3831224661581804
{'$date': '2016-12-14T00:00:00.000+0000'},0.1025,2016-12-14,0.4641071428571428
{'$date': '2017-01-27T00:00:00.000+0000'},0.08927368927368926,2017-01-27,0.3527729677729677
{'$date': '2016-10-04T00:00:00.000+0000'},0.1432088744588744,2016-10-04,0.436883541295306
{'$date': '2016-12-11T00:00:00.000+0000'},0.1363636363636364,2016-12-11,0.4545454545454545
{'$date': '2017-02-06T00:00:00.000+0000'},0.07936524186524188,2017-02-06,0.4034456534456535
{'$date': '2016-12-07T00:00:00.000+0000'},-0.03998443077390445,2016-12-07,0.52015455304929
{'$date': '2017-02-16T00:00:00.000+0000'},-0.03771645021645022,2017-02-16,0.2529761904761905
{'$date': '2017-01-19T00:00:00.000+0000'},0.1975308641975308,2017-01-19,0.6533950617283951
{'$date': '2017-01-27T00:00:00.000+0000'},0.08294913419913423,2017-01-27,0.2991345539706196
{'$date': '2016-11-15T14:53:11.000+0000'},-0.1039528777233695,2016-11-15,0.6086807181889148
{'$date': '2016-11-30T00:00:00.000+0000'},0.1446969696969697,2016-11-30,0.4087121212121212
{'$date': '2016-09-26T19:43:15.000+0000'},0.1309069387052341,2016-09-26,0.4368874417880097
{'$date': '2016-09-21T04:01:00.000+0000'},0.1464728453364817,2016-09-21,0.5346136691591237
{'$date': '2016-11-07T00:00:00.000+0000'},0.141628145865434,2016-11-07,0.4317221855357447
{'$date': '2016-10-31T00:00:00.000+0000'},0.04840686274509804,2016-10-31,0.5692051820728291
{'$date': '2017-01-15T00:00:00.000+0000'},0.1565081810844523,2017-01-15,0.4795968156137647
{'$date': '2016-12-29T00:00:00.000+0000'},0.06087412587412588,2016-12-29,0.4602214452214453
{'$date': '2016-11-03T00:00:00.000+0000'},0.1241523619127786,2016-11-03,0.4902228134519804
{'$date': '2016-12-04T00:00:00.000+0000'},0.03377226285846974,2016-12-04,0.5005644719265412
{'$date': '2017-01-14T00:00:00.000+0000'},0.1610755149471964,2017-01-14,0.4864060963618486
{'$date': '2017-02-13T00:00:00.000+0000'},0.1224961252739031,2017-02-13,0.4258885147774036
{'$date': '2017-02-12T00:00:00.000+0000'},0.1112034161490683,2017-02-12,0.392463768115942
{'$date': '2016-11-18T00:00:00.000+0000'},0.2248048668503214,2016-11-18,0.4218483536665356
{'$date': '2016-12-25T00:00:00.000+0000'},0.09407552083333333,2016-12-25,0.5214958218864469
{'$date': '2017-02-24T00:00:00.000+0000'},0.04082167832167833,2017-02-24,0.4074397824397825
{'$date': '2017-02-22T00:00:00.000+0000'},0.03703703703703705,2017-02-22,0.4339031339031339
{'$date': '2017-01-22T00:00:00.000+0000'},0.2018817065287654,2017-01-22,0.4795531135531136
{'$date': '2017-03-18T00:00:00.000+0000'},0.1376195712889262,2017-03-18,0.4555701019410697
{'$date': '2017-03-17T00:00:00.000+0000'},0.08867132867132868,2017-03-17,0.3859655728886497
{'$date': '2017-03-09T00:00:00.000+0000'},0.1569760101010101,2017-03-09,0.4382365319865319
{'$date': '2017-03-15T00:00:00.000+0000'},0.1441777816777817,2017-03-15,0.4233532233532235
{'$date': '2017-03-17T00:00:00.000+0000'},0.1669015151515152,2017-03-17,0.5272272727272727
{'$date': '2017-03-09T00:00:00.000+0000'},0.09463345864661653,2017-03-09,0.4855670426065161
{'$date': '2017-03-21T00:00:00.000+0000'},-0.01323529411764706,2017-03-21,0.3308823529411765
{'$date': '2017-03-20T00:00:00.000+0000'},0.02953968253968254,2017-03-20,0.427984126984127
{'$date': '2017-03-23T14:26:05.162+0000'},0.1465694273047214,2017-03-23,0.4396886773357364
{'$date': '2017-03-17T00:00:00.000+0000'},-0.01007616487455196,2017-03-17,0.3800358422939067
{'$date': '2017-03-23T16:14:39.000+0000'},0.1053030303030303,2017-03-23,0.4928503787878789
{'$date': '2017-03-17T00:00:00.000+0000'},0.05525671775671775,2017-03-17,0.4049383799383799
{'$date': '2017-03-14T00:00:00.000+0000'},-0.06555555555555555,2017-03-14,0.3622222222222222
{'$date': '2017-03-23T00:00:00.000+0000'},0.1541137566137566,2017-03-23,0.5500396825396826
{'$date': '2017-03-27T16:31:07.000+0000'},0.1705426356589147,2017-03-27,0.5005813953488372
{'$date': '2017-03-24T00:00:00.000+0000'},0.01150664811379097,2017-03-24,0.4395516388373532
{'$date': '2017-03-16T00:00:00.000+0000'},0.05181623931623933,2017-03-16,0.4048433048433048
{'$date': '2017-03-26T17:00:00.000+0000'},0.09123989898989898,2017-03-26,0.3874409571909572
{'$date': '2017-03-17T00:00:00.000+0000'},0.02068209568209569,2017-03-17,0.4231171606171607
{'$date': '2017-03-22T18:51:54.000+0000'},0.1219416386083053,2017-03-22,0.3066778900112233
{'$date': '2017-03-24T00:00:00.000+0000'},0.1291115134865135,2017-03-24,0.4404220779220779
{'$date': '2017-03-07T00:00:00.000+0000'},0.1270446596717783,2017-03-07,0.603346112456282
{'$date': '2017-03-26T00:00:00.000+0000'},0.1363636363636364,2017-03-26,0.4545454545454545
{'$date': '2017-03-23T00:00:00.000+0000'},0.04137426900584795,2017-03-23,0.4451754385964913
{'$date': '2017-03-24T18:58:35.000+0000'},0.2120454545454545,2017-03-24,0.4186700336700336
{'$date': '2017-03-23T00:00:00.000+0000'},0.1571366133866134,2017-03-23,0.4391504329004329
{'$date': '2017-03-29T00:00:00.000+0000'},0.1456439393939394,2017-03-29,0.4789983164983165
{'$date': '2017-03-29T00:00:00.000+0000'},0,2017-03-29,0
