publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2016-10-18T14:51:02.000+0000'},0.5227777777777778,0.2793703703703703,2016-10-18
{'$date': '2016-05-18T00:00:00.000+0000'},0.5563852813852813,0.2339053803339518,2016-05-18
{'$date': '2017-01-04T00:00:00.000+0000'},0.4109234398560241,0.05244904907826256,2017-01-04
{'$date': '2016-10-26T00:00:00.000+0000'},0.4151422230967687,0.1321535156762429,2016-10-26
{'$date': '2016-10-28T00:00:00.000+0000'},0.5209761904761905,0.04011904761904762,2016-10-28
{'$date': '2016-11-15T00:00:00.000+0000'},0.3849191624701828,0.1354890007951233,2016-11-15
{'$date': '2016-09-19T00:00:00.000+0000'},0.4691145218417946,0.2042266824085006,2016-09-19
{'$date': '2017-01-27T00:00:00.000+0000'},0.5207481060606062,0.1034334415584416,2017-01-27
{'$date': '2017-03-29T06:20:42.000+0000'},0.4276404151404152,0.3249007936507937,2017-03-29
{'$date': '2017-01-20T00:00:00.000+0000'},0.4396220896220896,0.2165906165906167,2017-01-20
{'$date': '2017-02-08T00:00:00.000+0000'},0.4537691144834002,0.1454766628873772,2017-02-08
{'$date': '2017-02-15T20:28:23.000+0000'},0.4304442239858906,0.07884810405643736,2017-02-15
{'$date': '2016-11-22T00:00:00.000+0000'},0.5047040169133191,0.1318886539816773,2016-11-22
{'$date': '2017-01-24T00:00:00.000+0000'},0.4365646258503401,0.1754684601113173,2017-01-24
{'$date': '2016-12-05T00:00:00.000+0000'},0.4986225895316805,-0.08980716253443523,2016-12-05
{'$date': '2016-11-04T00:00:00.000+0000'},0.4047483766233766,0.1291222170686456,2016-11-04
{'$date': '2017-02-21T00:00:00.000+0000'},0.5155050505050507,0.154040404040404,2017-02-21
{'$date': '2017-01-04T00:00:00.000+0000'},0.4437931443556442,0.0782417894605395,2017-01-04
{'$date': '2016-11-15T00:00:00.000+0000'},0.4258410973084885,0.1157608695652175,2016-11-15
{'$date': '2017-02-12T00:00:00.000+0000'},0.575046685340803,0.2416900093370682,2017-02-12
{'$date': '2016-11-15T00:00:00.000+0000'},0.5317736185383245,0.1816399286987523,2016-11-15
{'$date': '2017-01-20T00:00:00.000+0000'},0.3323665223665224,0.1332178932178932,2017-01-20
{'$date': '2016-09-08T00:00:00.000+0000'},0.4420668953687822,0.1613105448011109,2016-09-08
{'$date': '2017-02-01T00:00:00.000+0000'},0.3493261183261184,0.06048773448773449,2017-02-01
{'$date': '2017-01-12T00:00:00.000+0000'},0.4675189393939393,0.07296401515151515,2017-01-12
{'$date': '2016-10-18T16:21:00.000+0000'},0.521645594264642,0.250854348473396,2016-10-18
{'$date': '2016-12-04T00:00:00.000+0000'},0.5237336601307189,0.2157883986928104,2016-12-04
{'$date': '2016-12-10T00:00:00.000+0000'},0.5148565486800781,0.05896464646464646,2016-12-10
{'$date': '2016-10-14T00:00:00.000+0000'},0.5576666666666665,0.1462222222222222,2016-10-14
{'$date': '2017-02-13T00:00:00.000+0000'},0.340267119244392,0.1596910665092483,2017-02-13
