Date,sentiment_polarity,sentiment_subjectivity,Open,High,Low,Close,Volume,Change,Class_Label
42706,0.104085835,0.436288135,744.59,754,743.1,750.5,1452484,5.91,1
42706,0.145340067,0.445636845,744.59,754,743.1,750.5,1452484,5.91,1
42709,0.124337121,0.355776515,757.71,763.9,752.9,762.52,1394223,4.81,1
42709,0.076264114,0.463916357,757.71,763.9,752.9,762.52,1394223,4.81,1
42709,0.118954091,0.459251243,757.71,763.9,752.9,762.52,1394223,4.81,1
42709,0.103430335,0.427566138,757.71,763.9,752.9,762.52,1394223,4.81,1
42710,0.084564394,0.248200758,764.73,768.83,757.34,759.11,1690689,-5.62,0
42710,0.124337121,0.355776515,764.73,768.83,757.34,759.11,1690689,-5.62,0
42710,0.096130416,0.403830974,764.73,768.83,757.34,759.11,1690689,-5.62,0
42711,0.131904762,0.48152381,761,771.36,755.8,771.19,1760966,10.19,1
42712,0.119473981,0.37412518,772.48,778.18,767.23,776.42,1488059,3.94,1
42712,0.042632735,0.36124427,772.48,778.18,767.23,776.42,1488059,3.94,1
42712,0.108117551,0.494701646,772.48,778.18,767.23,776.42,1488059,3.94,1
42713,0.180171717,0.487730159,780,789.43,779.02,789.29,1821914,9.29,1
42713,0.064630682,0.433664773,780,789.43,779.02,789.29,1821914,9.29,1
42713,0.029383117,0.37711039,780,789.43,779.02,789.29,1821914,9.29,1
42713,0.096953914,0.482427399,780,789.43,779.02,789.29,1821914,9.29,1
42713,0.090932282,0.409679061,780,789.43,779.02,789.29,1821914,9.29,1
42716,0.091633168,0.406872939,785.04,791.25,784.36,789.27,2104117,4.23,1
42716,0.168100649,0.52612013,785.04,791.25,784.36,789.27,2104117,4.23,1
42716,0.066987383,0.493084152,785.04,791.25,784.36,789.27,2104117,4.23,1
42716,0.212820513,0.416666667,785.04,791.25,784.36,789.27,2104117,4.23,1
42717,0.086815476,0.494285714,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.078745791,0.330155724,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.117771765,0.389190227,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.12675,0.630333333,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.061538462,0.306410256,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.161363636,0.448989899,793.9,804.38,793.34,796.1,2145209,2.2,1
42717,0.06329816,0.373741883,793.9,804.38,793.34,796.1,2145209,2.2,1
42718,0.004320728,0.35047619,797.4,804,794.01,797.07,1704150,-0.33,0
42718,0.222675059,0.553180299,797.4,804,794.01,797.07,1704150,-0.33,0
42718,0.138842086,0.421890427,797.4,804,794.01,797.07,1704150,-0.33,0
42719,0.085741542,0.455545921,797.34,803,792.92,797.85,1626499,0.51,1
42719,0.151693405,0.418716578,797.34,803,792.92,797.85,1626499,0.51,1
42719,0.170507627,0.466079159,797.34,803,792.92,797.85,1626499,0.51,1
42720,0.016304348,0.477898551,800.4,800.86,790.29,790.8,2443796,-9.6,0
