publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2017-02-06T16:38:01.000+0000'},0.4346969696969699,-0.1053409090909091,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T16:38:03.000+0000'},0.2886964886964886,-0.04704184704184702,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T01:00:00.000+0000'},0.4786458333333333,0.1859375,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T06:38:04.000+0000'},0.3657773386034257,-0.04298418972332015,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T08:54:59.000+0000'},0.3318390804597701,0.002643678160919544,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T13:33:04.000+0000'},0.3072499185402411,0.04770748964297351,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2017-02-06T08:17:39.000+0000'},0.4318536595854476,0.173570998537886,2017-02-06,799.7,801.67,795.25,801.34,1184483.0
{'$date': '2016-06-16T00:00:00.000+0000'},0.3623376623376623,0.1897727272727273,2016-06-16,714.91,716.65,703.26,710.36,1982471.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.5723333333333334,0.1884380952380953,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.4005050505050505,0.2272727272727273,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.6533950617283951,0.1975308641975308,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.4005050505050505,0.2272727272727273,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.6533950617283951,0.1975308641975308,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T07:44:00.000+0000'},0.4699273607748183,0.2182889426957224,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T09:38:01.000+0000'},0.4068280632411067,-0.07896245059288537,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T07:08:00.000+0000'},0.5560529255690546,0.2076227133081972,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T07:38:04.000+0000'},0.2661947342275212,-0.06251862891207152,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.5727600250626566,0.1714442355889724,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2017-01-19T00:00:00.000+0000'},0.4617415917415917,0.1181268731268731,2017-01-19,805.12,809.48,801.8,802.18,919325.0
{'$date': '2016-10-20T00:00:00.000+0000'},0.4900279581529579,0.1006006493506493,2016-10-20,803.3,803.97,796.03,796.97,1757528.0
{'$date': '2016-10-20T00:00:00.000+0000'},0.4671717171717172,0.2396464646464646,2016-10-20,803.3,803.97,796.03,796.97,1757528.0
{'$date': '2016-06-09T00:00:00.000+0000'},0.4094114457458014,0.09498914429129153,2016-06-09,722.87,729.54,722.34,728.58,988914.0
{'$date': '2016-06-09T00:00:00.000+0000'},0.3784864323204246,0.06077907819014537,2016-06-09,722.87,729.54,722.34,728.58,988914.0
{'$date': '2016-06-09T00:00:00.000+0000'},0.3784864323204246,0.06077907819014537,2016-06-09,722.87,729.54,722.34,728.58,988914.0
{'$date': '2016-11-21T00:00:00.000+0000'},0.4235691797380109,0.09399561477483556,2016-11-21,762.61,769.7,760.6,769.2,1330639.0
{'$date': '2016-11-21T00:00:00.000+0000'},0.507436112274822,0.11436775590001401,2016-11-21,762.61,769.7,760.6,769.2,1330639.0
